lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,only_multiply,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
8093,11670,43230,0.00078778,0.07,74402,35315373,8447,24349,32796,13571,8289.0,24778.0
70750,40157,28409,8.429e-05,0.03,239480,34225737,11672,50324,61996,16552,15863.0,84519.0
20235,42466,12237,0.00182521,0.03,1568424,15590396,5272,28007,33279,26522,5204.0,114418.0
81521,33249,22127,0.01084252,0.0005,29389118,367856,7998,1140998,1148996,26869,7319.0,3486157.0
138381,26832,9184,0.00018467,0.27,685694,66541578,1987,43440,45427,125825,1291.0,58298.0
78519,15235,6040,0.00082487,0.17,986777,15644394,886,15202,16088,56863,223.0,38015.0
146154,1317,10067,1.651e-05,0.17,3178,2254044,62,8959,9021,361,43.0,8255.0
19306,38528,22318,0.00041097,0.05,305707,42994698,11792,21194,32986,30542,10314.0,49972.0
22950,10175,25162,0.00296184,0.27,691700,69132631,2112,47689,49801,92847,1264.0,96421.0
39045,50871,3696,0.00082282,0.25,1634351,47005874,2107,9559,11666,32010,781.0,34758.0
4301,38381,37946,2.483e-05,0.0005,4099,728231,6853,8126,14979,32,6798.0,12093.0
10,24130,2263,0.00034241,0.005,87,273120,154,199,353,16,113.0,325.0
62788,30689,7210,1.651e-05,0.13,31813,28766562,6530,15984,22514,2487,6511.0,18085.0
13984,6161,15339,0.00860544,0.3,741545,28355267,1049,24123,25172,36579,246.0,59510.0
61837,15728,14842,0.02533638,0.13,24642471,30348225,1473,557502,558975,415586,1186.0,1869468.0
47667,89081,10811,0.00491597,0.01,20874712,9631434,9681,347351,357032,69247,8064.0,1168238.0
55938,9379,9133,0.00018467,0.15,96888,12849645,777,7758,8535,13500,390.0,13397.0
145291,29857,2164,0.00015297,0.25,663593,16158835,294,8402,8696,27333,146.0,13778.0
73450,28696,2701,0.00296184,0.17,6242903,13178472,245,29427,29672,47884,165.0,93451.0
13678,69478,997,0.00370564,0.13,3521622,9012222,209,4916,5125,4875,554.0,18911.0
74969,30626,22209,0.00078778,0.0005,1808808,340099,3514,72574,76088,1069,3592.0,241603.0
123565,34426,2336,0.00182521,0.27,7764316,21716782,876,66099,66975,84849,178.0,124761.0
7931,65086,5899,2.088e-05,0.01,10778,3840068,2410,1932,4342,105,3015.0,3156.0
92341,7302,10440,0.00018467,0.2,124528,15248655,785,12122,12907,21304,168.0,21244.0
57417,4990,26049,0.00952101,0.27,2728256,35101184,1314,114566,115880,269536,288.0,386953.0
94340,10152,16472,0.02533638,0.1,24266025,16722661,1585,839718,841303,489409,332.0,962510.0
57540,63586,437,0.00056263,0.23,2058572,6404507,153,1599,1752,3914,71.0,5600.0
52172,6086,36193,0.00056263,0.13,178653,28636974,6732,28872,35604,67004,1121.0,58368.0
127748,32756,8112,0.00082487,0.2,3451691,53149283,12622,94030,106652,195856,1393.0,214572.0
8095,56530,2191,0.00491597,0.13,2249845,16101643,1100,7034,8134,6460,4467.0,27497.0
89116,9732,5599,0.00019487,0.13,169010,7084026,171,7298,7469,10127,306.0,12887.0
35390,33639,6233,0.00078778,0.15,937867,31451509,7396,9831,17227,34773,425.0,35095.0
118270,5395,12366,0.00952101,0.17,6075596,11342507,208,214610,214818,244839,147.0,493463.0
74347,55846,7870,0.00952101,0.01,39531852,4395439,9793,528217,538010,100093,1966.0,1668677.0
