lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm,bz_smsm,bz_smdm
86521,33964,16898,0.00370564,0.1,10889559,57393292,421135,332223,1059022
7293,88117,3594,0.00015297,0.15,98310,47505746,3821,3486,5971
26691,23258,14148,0.00041097,0.03,255133,9872247,14114,7660,28946
98066,41967,4088,0.00082282,0.23,3386379,39465343,48364,79696,90221
116613,13871,7347,0.00082185,0.07,1329414,7134207,25648,48013,70933
146723,50138,9134,0.00031941,0.13,2349750,59535716,86127,179105,172021
12390,12503,17078,0.00056263,0.15,87166,32030299,17567,12458,18269
48349,27792,27748,0.00082185,0.07,1104360,53983736,71581,126592,199104
88274,73012,4168,0.00015297,0.2,985914,60871976,10803,41958,32050
146067,6562,7358,0.00002483,0.25,23801,12072634,10154,3023,11790
105587,27508,4739,0.00078778,0.07,2288163,9126957,28367,46523,74781
81464,7120,25173,0.00491597,0.05,2851458,8961824,128913,175920,404195
125857,42282,11878,0.00108175,0.13,5756540,65294101,242265,279746,490901
128261,9592,15190,0.00034241,0.27,421271,39342141,40058,128722,66028
25669,4966,8747,0.00082185,0.2,104775,8688468,4782,12479,9104
102238,46444,5011,0.00108175,0.2,5136538,46554403,82738,110177,169766
40058,38153,33365,0.00108175,0.005,1653316,6365225,88492,19656,315380
22717,23456,9074,0.00078778,0.27,419776,57471245,30435,34994,23537
130451,3348,5445,0.00056263,0.27,245799,4923828,8656,25765,15951
51667,59315,34324,0.00296184,0.01,9077075,20359700,506844,167222,1645889
35930,18510,43427,0.00108175,0.05,719456,40193270,67415,113626,195502
102296,49130,19240,0.00082487,0.001,4145695,945278,204505,5284,532528
10672,69703,3104,0.02533638,0.27,18847451,58433424,78802,98574,296070
64621,50363,25942,0.00296184,0.03,9639487,39196463,425480,230110,1347968
45392,20350,19204,0.00013363,0.13,123441,50807587,31389,20828,28563
80022,60627,9037,0.00019487,0.1,945424,54794058,43397,76519,83184
44171,76085,461,0.00296184,0.3,9954267,10531483,7240,11527,24159
90671,14282,15507,0.00001651,0.2,21380,44297385,19951,5388,23697
78709,24244,14016,0.00008429,0.05,160849,16991946,21235,13283,35467
63788,71216,18054,0.00182521,0.03,8291531,38574127,267031,166723,819427
97165,68569,4654,0.00296184,0.15,19733663,47874562,224517,190954,555238
89490,74614,2024,0.00952101,0.001,63574769,151024,291891,20373,740885
58210,37778,9183,0.00108175,0.03,2378882,10408478,40075,43297,126355
