lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_todense,sp_smdm,bz_smsm,bz_right_todense,bz_smdm
35390,33639,6233,0.00078778,0.15,937867,31451509,7396,9831,34773,425,35095
118270,5395,12366,0.00952101,0.17,6075596,11342507,208,214610,244839,147,493463
74347,55846,7870,0.00952101,0.01,39531852,4395439,9793,528217,100093,1966,1668677
40304,82417,1274,0.00082185,0.15,2729991,15760247,1002,5854,9957,543,20113
39955,23735,3557,0.00296184,0.27,2808903,22801970,887,14226,31345,1022,54641
26848,91981,3943,0.00296184,0.17,7314601,61671028,15672,43114,49114,1855,177962
144711,3562,11177,0.00082185,0.27,423709,10752194,222,22519,84222,96,47609
744,52746,115,0.00370564,0.3,145421,1832248,37,168,85,27,194
48912,7152,23122,0.00000464,0.15,1623,24807505,1568,14954,558,6505,12578
31079,62790,10888,0.00491597,0.01,9593404,6837252,6026,157632,40408,5991,564415
41058,5686,11014,0.00108175,0.05,252587,3132040,551,8077,10037,130,20858
96518,11880,20321,0.00047003,0.01,538974,2414244,1725,35467,8353,1605,89347
65846,15956,12081,0.00082487,0.0005,866675,96385,1333,22174,270,1360,66954
13701,225,28320,0.00182521,0.23,5636,1468025,39,3187,1926,27,3737
40745,21940,7324,0.00182521,0.13,1631684,20892047,1465,23955,40847,578,67111
14434,97687,7546,0.00015297,0.001,215690,737169,3766,12771,151,3753,19982
60641,8346,26013,0.00860544,0.07,4355582,15198445,4795,180726,204435,1085,612053
84830,22530,17039,0.00000464,0.15,8868,57586828,13065,27713,2490,1969,26721
147875,19880,2909,0.00082487,0.0005,2424999,28916,91,22213,188,140,56379
29953,2131,9350,0.00082487,0.3,52656,5978570,134,3755,10588,120,6397
37569,28762,2265,0.00000464,0.23,5013,14987651,323,1150,309,174,5162
131345,20463,9563,0.00182521,0.27,4905692,52839445,2313,165338,265773,784,344783
22580,33030,15081,0.00078778,0.07,587567,34871461,8822,27199,37603,1092,65813
143107,69551,6835,0.00000434,0.13,43197,61802128,14648,32032,3926,2449,35055
