lr,lc,rc,ld,rd,lnnz,rnnz,sp_right_sm_todense,only_sp_smdm,sp_smdm,bz_smsm,bz_right_sm_todense,bz_smdm
92588,76143,8287,0.00370564,0.01,26124739,6310421,8749,512561,521310,103475,2851,1310437
19873,25286,15199,0.00082487,0.01,414516,3843351,2474,15450,17924,4286,2500,42413
18538,7014,20071,0.00034241,0.3,44530,42240634,1461,19953,21414,15340,346,18351
43685,44183,21364,0.00296184,0.03,5716843,28319082,10545,204657,215202,127256,4484,672265
143064,27390,4220,0.00182521,0.17,7152354,19651828,1077,115780,116857,117615,357,225935
127324,14202,12459,0.00108175,0.3,1956124,53085074,2047,80885,82932,261416,380,182014
13357,3737,49963,0.00041097,0.17,20517,31744729,1790,14607,16397,16756,758,17526
31991,6296,36602,0.00047003,0.25,94679,57616614,1781,23332,25113,57248,485,40178
23746,25972,7874,0.00296184,0.23,1826750,47039032,1579,18345,19924,38865,11419,76768
74610,26810,14303,0.00296184,0.17,5924737,65191887,2699,166760,169459,250366,1918,461229
138930,71018,4653,0.00370564,0.13,36562006,42958652,2201,622152,624353,312380,653,1263741
90385,90948,10324,0.00082282,0.01,6763959,9390426,6997,172498,179495,54106,5244,439988
